,Name1,Name2
0,Abilene Christian Wildcats,Abilene Christian
1,Akron Zips,Akron
2,Alabama Crimson Tide,Alabama
3,Alabama State Hornets,Alabama State
4,Alabama-Birmingham Blazers,Alabama-Birmingham
5,Albany (NY) Great Danes,Albany (NY)
6,American Eagles,American
7,Arizona State Sun Devils,Arizona State
8,Arizona Wildcats,Arizona
9,Arkansas Razorbacks,Arkansas
10,Auburn Tigers,Auburn
11,Austin Peay Governors,Austin Peay
12,BYU Cougars,Brigham Young
13,Baylor Bears,Baylor
14,Belmont Bruins,Belmont
15,Boise State Broncos,Boise State
16,Boston University Terriers,Boston University
17,Bradley Braves,Bradley
18,Bucknell Bison,Bucknell
19,Buffalo Bulls,Buffalo
20,Butler Bulldogs,Butler
21,Cal Poly Mustangs,Cal Poly
22,Cal State Bakersfield Roadrunners,Cal State Bakersfield
23,Cal State Fullerton Titans,Cal State Fullerton
24,California Golden Bears,University of California
25,Chattanooga Mocs,Chattanooga
26,Cincinnati Bearcats,Cincinnati
27,Clemson Tigers,Clemson
28,Coastal Carolina Chanticleers,Coastal Carolina
29,Colgate Raiders,Colgate
30,College of Charleston Cougars,College of Charleston
31,Colorado Buffaloes,Colorado
32,Colorado State Rams,Colorado State
33,Creighton Bluejays,Creighton
34,Davidson Wildcats,Davidson
35,Dayton Flyers,Dayton
36,Delaware Fightin' Blue Hens,Delaware
37,Detroit Titans,Detroit Mercy
38,Duke Blue Devils,Duke
39,ETSU Buccaneers,East Tennessee State
40,Eastern Kentucky Colonels,Eastern Kentucky
41,Eastern Washington Eagles,Eastern Washington
42,Fairleigh Dickinson Knights,Fairleigh Dickinson
43,Florida Gators,Florida
44,Florida Gulf Coast Eagles,Florida Gulf Coast
45,Florida State Seminoles,Florida State
46,Fresno State Bulldogs,Fresno State
47,Gardner-Webb Runnin' Bulldogs,Gardner-Webb
48,George Mason Patriots,George Mason
49,George Washington Colonials,George Washington
50,Georgetown Hoyas,Georgetown
51,Georgia Bulldogs,Georgia
52,Georgia State Panthers,Georgia State
53,Gonzaga Bulldogs,Gonzaga
54,Green Bay Phoenix,Green Bay
55,Hampton Pirates,Hampton
56,Harvard Crimson,Harvard
57,Hawaii Rainbow Warriors,Hawaii
58,Holy Cross Crusaders,Holy Cross
59,Houston Cougars,Houston
60,Illinois Fighting Illini,Illinois
61,Indiana Hoosiers,Indiana
62,Indiana State Sycamores,Indiana State
63,Iona Gaels,Iona
64,Iowa Hawkeyes,Iowa
65,Iowa State Cyclones,Iowa State
66,Jacksonville State Gamecocks,Jacksonville State
67,James Madison Dukes,James Madison
68,Kansas Jayhawks,Kansas
69,Kansas State Wildcats,Kansas State
70,Kent State Golden Flashes,Kent State
71,Kentucky Wildcats,Kentucky
72,LIU-Brooklyn Blackbirds,Long Island University
73,LSU Fighting Tigers,Louisiana State
74,La Salle Explorers,La Salle
75,Lafayette Leopards,Lafayette
76,Lamar Cardinals,Lamar
77,Lehigh Mountain Hawks,Lehigh
78,Liberty Flames,Liberty
79,Lipscomb Bisons,Lipscomb
80,Little Rock Trojans,Little Rock
81,Long Beach State 49ers,Long Beach State
82,Louisiana Ragin' Cajuns,Louisiana
83,Louisville Cardinals,Louisville
84,Loyola (IL) Ramblers,Loyola (IL)
85,Loyola (MD) Greyhounds,Loyola (MD)
86,Manhattan Jaspers,Manhattan
87,Marquette Golden Eagles,Marquette
88,Marshall Thundering Herd,Marshall
89,Maryland Terrapins,Maryland
90,Memphis Tigers,Memphis
91,Mercer Bears,Mercer
92,Miami (FL) Hurricanes,Miami (FL)
93,Michigan State Spartans,Michigan
94,Michigan Wolverines,Michigan State
95,Middle Tennessee Blue Raiders,Middle Tennessee
96,Milwaukee Panthers,Milwaukee
97,Minnesota Golden Gophers,Minnesota
98,Mississippi State Bulldogs,Mississippi State
99,Mississippi Valley State Delta Devils,Mississippi Valley State
100,Missouri Tigers,Missouri
101,Montana Grizzlies,Montana
102,Morehead State Eagles,Morehead State
103,Mount St. Mary's Mountaineers,Mount St. Mary's
104,Murray State Racers,Murray State
105,NC State Wolfpack,North Carolina State
106,Nebraska Cornhuskers,Nebraska
107,Nevada Wolf Pack,Nevada
108,New Mexico Lobos,New Mexico
109,New Mexico State Aggies,New Mexico State
110,New Orleans Privateers,New Orleans
111,Norfolk State Spartans,Norfolk State
112,North Carolina A&T Aggies,North Carolina A&T
113,North Carolina Central Eagles,North Carolina Central
114,North Dakota Fighting Hawks,North Dakota
115,North Dakota State Bison,North Dakota State
116,North Florida Ospreys,North Florida
117,Northeastern Huskies,Northeastern
118,Northern Colorado Bears,Northern Colorado
119,Northern Iowa Panthers,Northern Iowa
120,Northern Kentucky Norse,Northern Kentucky
121,Northwestern State Demons,Northwestern State
122,Northwestern Wildcats,Northwestern
123,Notre Dame Fighting Irish,Notre Dame
124,Oakland Golden Grizzlies,Oakland
125,Ohio Bobcats,Ohio
126,Ohio State Buckeyes,Ohio State
127,Oklahoma Sooners,Oklahoma
128,Oklahoma State Cowboys,Oklahoma State
129,Old Dominion Monarchs,Old Dominion
130,Ole Miss Rebels,Mississippi
131,Oregon Ducks,Oregon
132,Oregon State Beavers,Oregon State
133,Pacific Tigers,Pacific
134,Penn Quakers,Pennsylvania
135,Penn State Nittany Lions,Penn State
136,Pitt Panthers,Pittsburgh
137,Prairie View Panthers,Prairie View
138,Princeton Tigers,Princeton
139,Providence Friars,Providence
140,Purdue Boilermakers,Purdue
141,Radford Highlanders,Radford
142,Rhode Island Rams,Rhode Island
143,Richmond Spiders,Richmond
144,Robert Morris Colonials,Robert Morris
145,SMU Mustangs,Southern Methodist
146,Saint Louis Billikens,Saint Louis
147,Saint Mary's Gaels,Saint Mary's (CA)
148,San Diego State Aztecs,San Diego State
149,Seton Hall Pirates,Seton Hall
150,South Carolina Gamecocks,South Carolina
151,South Dakota State Jackrabbits,South Dakota State
152,South Florida Bulls,South Florida
153,Southern Jaguars,Southern
154,Southern Miss Golden Eagles,Southern Mississippi
155,St. Bonaventure Bonnies,St. Bonaventure
156,St. John's (NY) Red Storm,St. John's (NY)
157,St. Joseph's Hawks,Saint Joseph's
158,St. Peter's Peacocks,Saint Peter's
159,Stanford Cardinal,Stanford
160,Stephen F. Austin Lumberjacks,Stephen F. Austin
161,Stony Brook Seawolves,Stony Brook
162,Syracuse Orange,Syracuse
163,TCU Horned Frogs,Texas Christian
164,Temple Owls,Temple
165,Tennessee Volunteers,Tennessee
166,Texas A&M Aggies,Texas A&M
167,Texas Longhorns,Texas
168,Texas Southern Tigers,Texas Southern
169,Texas Tech Red Raiders,Texas Tech
170,Troy Trojans,Troy
171,Tulsa Golden Hurricane,Tulsa
172,UC-Davis Aggies,UC-Davis
173,UC-Irvine Anteaters,UC-Irvine
174,UCF Knights,Central Florida
175,UCLA Bruins,UCLA
176,UCSB Gauchos,UC-Santa Barbara
177,UConn Huskies,Connecticut
178,UMBC Retrievers,Maryland-Baltimore County
179,UMass Minutemen,Massachusetts
180,UNC Asheville Bulldogs,North Carolina-Asheville
181,UNC Greensboro Spartans,North Carolina-Greensboro
182,UNC Tar Heels,North Carolina
183,UNC Wilmington Seahawks,North Carolina-Wilmington
184,UNLV Rebels,Nevada-Las Vegas
185,USC Trojans,Southern California
186,UTSA Roadrunners,Texas-San Antonio
187,Utah State Aggies,Utah State
188,Utah Utes,Utah
189,VCU Rams,Virginia Commonwealth
190,Valparaiso Crusaders,Valparaiso
191,Vanderbilt Commodores,Vanderbilt
192,Vermont Catamounts,Vermont
193,Villanova Wildcats,Villanova
194,Virginia Cavaliers,Virginia
195,Virginia Tech Hokies,Virginia Tech
196,Wake Forest Demon Deacons,Wake Forest
197,Washington Huskies,Washington
198,Weber State Wildcats,Weber State
199,West Virginia Mountaineers,West Virginia
200,Western Kentucky Hilltoppers,Western Kentucky
201,Western Michigan Broncos,Western Michigan
202,Wichita State Shockers,Wichita State
203,Winthrop Eagles,Winthrop
204,Wisconsin Badgers,Wisconsin
205,Wofford Terriers,Wofford
206,Wright State Raiders,Wright State
207,Wyoming Cowboys,Wyoming
208,Xavier Musketeers,Xavier
209,Yale Bulldogs,Yale